ManufacturerName,CustomerName,Customer,City,State,Stockcode,ItemFamily,Amount,PYTD Sales,YTD Growth,% Change,TransferOrNot
Legend,"SEEKONK SUPPLY, INC","SEEKONK SUPPLY, INC - #106780 - PROVIDENCE - 176778",PROVIDENCE,MA,313-338NL                ,420 - Water Service Fittings        ,$131,$0,$131,,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - GREENVILLE - 11383,GREENVILLE,RI,313-404                  ,420 - Water Service Fittings        ,$0,$14,($14),-100.0%,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - TWIN MOUNTAIN - 179862,TWIN MOUNTAIN,RI,313-404                  ,420 - Water Service Fittings        ,$0,$13,($13),-100.0%,Direct
Legend,WINNELSON,WESTPORT WINWATER WORKS CO (#034) - WESTPORT - 178953,WESTPORT,MA,313-404                  ,420 - Water Service Fittings        ,$175,$0,$175,,Direct
Legend,WINNELSON,WINSUPPLY PORTLAND ME CO (#040) - SOUTH PORTLAND - 180358,SOUTH PORTLAND,ME,313-404                  ,420 - Water Service Fittings        ,$0,$4,($4),-100.0%,Direct
Legend,"WIT-WAY SUPPLY, INC","WIT-WAY SUPPLY, INC. - ROCHESTER - 176976",ROCHESTER,NH,313-404                  ,420 - Water Service Fittings        ,$0,$13,($13),-100.0%,Direct
Legend,BELL/SIMONS COMPANIES,BELL PUMP CO.  -SANFORD- #BS21 - SANFORD - 175204,SANFORD,CT,313-405                  ,420 - Water Service Fittings        ,$4,$0,$4,,Direct
Legend,HAJOCA,"PEABODY SUPPLY COMPANY, INC. #451 - KINGSTON - 177695",KINGSTON,NH,313-405                  ,420 - Water Service Fittings        ,$99,$0,$99,,Direct
Legend,HAJOCA,"PEABODY SUPPLY COMPANY, INC. - NORTH CHELMSFORD - 179976",NORTH CHELMSFORD,MA,313-405                  ,420 - Water Service Fittings        ,$20,$0,$20,,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - GREENVILLE - 11383,GREENVILLE,RI,313-405                  ,420 - Water Service Fittings        ,$20,$16,$4,24.3%,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - TWIN MOUNTAIN - 179862,TWIN MOUNTAIN,RI,313-405                  ,420 - Water Service Fittings        ,$0,$16,($16),-100.0%,Direct
Legend,SUPPLY NEW ENGLAND,SUPPLY NEW ENGLAND #10 - AD#SN03 - UXBRIDGE - 15115,UXBRIDGE,MA,313-405                  ,420 - Water Service Fittings        ,$99,$0,$99,,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP- ADGG04 - LONDONDERRY - 179844,LONDONDERRY,NH,313-405                  ,420 - Water Service Fittings        ,$0,$96,($96),-100.0%,Direct
Legend,WINNELSON,WESTPORT WINWATER WORKS CO (#034) - WESTPORT - 178953,WESTPORT,MA,313-405                  ,420 - Water Service Fittings        ,"$1,391",$0,"$1,391",,Direct
Legend,WINNELSON,WINSUPPLY - FALL RIVER-#068 - FALL RIVER - 15001,FALL RIVER,MA,313-405                  ,420 - Water Service Fittings        ,$0,$16,($16),-100.0%,Direct
